Product,Entity,Operation,Campaign Id,Ad Group Id,Portfolio Id,Ad Id,Keyword Id,Product Targeting Id,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,ASIN,Eligibility Status,Reasons for Ineligibility,Ad Group Default Bid,Bid,Keyword Text,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression
Sponsored Products,Campaign,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,,128613535409943,,,,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,,20260526,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_01_Exact_250 years decorations,,,,,,AG_01_Exact_250 years decorations,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_01_Exact_250 years decorations,,,,,,,,,,Enabled,,250TH_HAPPY250YEARS,,,,,,,,,,,
Sponsored Products,Keyword,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_01_Exact_250 years decorations,,,,,,,,,,Enabled,,,,,,,0.6,250 years decorations,exact,,,,
Sponsored Products,Ad Group,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_02_Exact_250 years decorations,,,,,,AG_02_Exact_250 years decorations,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_02_Exact_250 years decorations,,,,,,,,,,Enabled,,250TH_HAPPY250YEARS,,,,,,,,,,,
Sponsored Products,Keyword,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_02_Exact_250 years decorations,,,,,,,,,,Enabled,,,,,,,0.6,250 years decorations,exact,,,,
Sponsored Products,Ad Group,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_03_Exact_250 years decorations,,,,,,AG_03_Exact_250 years decorations,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_03_Exact_250 years decorations,,,,,,,,,,Enabled,,250TH_HAPPY250YEARS,,,,,,,,,,,
Sponsored Products,Keyword,Create,250TH_HAPPY250YEARS_SP00_SPR00_250 years decorations_Exact_LHH_260526,AG_03_Exact_250 years decorations,,,,,,,,,,Enabled,,,,,,,0.6,250 years decorations,exact,,,,
Sponsored Products,Campaign,Create,250TH_HAPPY250YEARS_SP00_SPR03_america 250 decorations_Exact_LHH_260526,,128613535409943,,,,250TH_HAPPY250YEARS_SP00_SPR03_america 250 decorations_Exact_LHH_260526,,20260526,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,250TH_HAPPY250YEARS_SP00_SPR03_america 250 decorations_Exact_LHH_260526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,10,
Sponsored Products,Bidding Adjustment,Create,250TH_HAPPY250YEARS_SP00_SPR03_america 250 decorations_Exact_LHH_260526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,10,
