Product,Entity,Operation,Campaign Id,Ad Group Id,Portfolio Id,Ad Id,Keyword Id,Product Targeting Id,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,ASIN,Eligibility Status,Reasons for Ineligibility,Ad Group Default Bid,Bid,Keyword Text,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_01_Exact_dad hat,,,,,,AG_01_Exact_dad hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_01_Exact_dad hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_01_Exact_dad hat,,,,,,,,,,Enabled,,,,,,,0.6,dad hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_02_Exact_dad hat,,,,,,AG_02_Exact_dad hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_02_Exact_dad hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_02_Exact_dad hat,,,,,,,,,,Enabled,,,,,,,0.6,dad hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_03_Exact_dad hat,,,,,,AG_03_Exact_dad hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_03_Exact_dad hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hat_Exact_Nguyen_280526,AG_03_Exact_dad hat,,,,,,,,,,Enabled,,,,,,,0.6,dad hat,exact,,,,
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_01_Exact_best dad ever hat,,,,,,AG_01_Exact_best dad ever hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_01_Exact_best dad ever hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_01_Exact_best dad ever hat,,,,,,,,,,Enabled,,,,,,,0.6,best dad ever hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_02_Exact_best dad ever hat,,,,,,AG_02_Exact_best dad ever hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_02_Exact_best dad ever hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_02_Exact_best dad ever hat,,,,,,,,,,Enabled,,,,,,,0.6,best dad ever hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_03_Exact_best dad ever hat,,,,,,AG_03_Exact_best dad ever hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_03_Exact_best dad ever hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR01_best dad ever hat_Exact_Nguyen_280526,AG_03_Exact_best dad ever hat,,,,,,,,,,Enabled,,,,,,,0.6,best dad ever hat,exact,,,,
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_01_Exact_dadhat,,,,,,AG_01_Exact_dadhat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_01_Exact_dadhat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_01_Exact_dadhat,,,,,,,,,,Enabled,,,,,,,0.6,dadhat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_02_Exact_dadhat,,,,,,AG_02_Exact_dadhat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_02_Exact_dadhat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_02_Exact_dadhat,,,,,,,,,,Enabled,,,,,,,0.6,dadhat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_03_Exact_dadhat,,,,,,AG_03_Exact_dadhat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_03_Exact_dadhat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dadhat_Exact_Nguyen_280526,AG_03_Exact_dadhat,,,,,,,,,,Enabled,,,,,,,0.6,dadhat,exact,,,,
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_01_Exact_papa hat,,,,,,AG_01_Exact_papa hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_01_Exact_papa hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_01_Exact_papa hat,,,,,,,,,,Enabled,,,,,,,0.6,papa hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_02_Exact_papa hat,,,,,,AG_02_Exact_papa hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_02_Exact_papa hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_02_Exact_papa hat,,,,,,,,,,Enabled,,,,,,,0.6,papa hat,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_03_Exact_papa hat,,,,,,AG_03_Exact_papa hat,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_03_Exact_papa hat,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_papa hat_Exact_Nguyen_280526,AG_03_Exact_papa hat,,,,,,,,,,Enabled,,,,,,,0.6,papa hat,exact,,,,
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_01_Exact_dad hats for men,,,,,,AG_01_Exact_dad hats for men,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_01_Exact_dad hats for men,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_01_Exact_dad hats for men,,,,,,,,,,Enabled,,,,,,,0.6,dad hats for men,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_02_Exact_dad hats for men,,,,,,AG_02_Exact_dad hats for men,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_02_Exact_dad hats for men,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_02_Exact_dad hats for men,,,,,,,,,,Enabled,,,,,,,0.6,dad hats for men,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_03_Exact_dad hats for men,,,,,,AG_03_Exact_dad hats for men,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_03_Exact_dad hats for men,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad hats for men_Exact_Nguyen_280526,AG_03_Exact_dad hats for men,,,,,,,,,,Enabled,,,,,,,0.6,dad hats for men,exact,,,,
Sponsored Products,Campaign,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,,212170875998610,,,,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,,20260528,,Manual,Enabled,5.0,,,,,,,,,Dynamic bids - down only,,,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Top,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Product Page,0,
Sponsored Products,Bidding Adjustment,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,,,,,,,,,,,Enabled,,,,,,,,,,,Placement Rest Of Search,0,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,AG_01_Exact_dad cap,,,,,,AG_01_Exact_dad cap,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,AG_01_Exact_dad cap,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
Sponsored Products,Keyword,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,AG_01_Exact_dad cap,,,,,,,,,,Enabled,,,,,,,0.6,dad cap,exact,,,,
Sponsored Products,Ad Group,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,AG_02_Exact_dad cap,,,,,,AG_02_Exact_dad cap,,,,Enabled,,,,,,0.6,,,,,,,
Sponsored Products,Product Ad,Create,FATHERDAY_DADHAT_SP00_SPR00_dad cap_Exact_Nguyen_280526,AG_02_Exact_dad cap,,,,,,,,,,Enabled,,FATHERDAY_DADHAT,,,,,,,,,,,
