                          0                                        1                  2                                         3                                    4           5      6      7     8
0  Full SKU: SCHOOLBOARD_02                                      NaN                NaN                                       NaN                                  NaN   3004-0405    NaN    NaN   NaN
1                       STT                            Campaign Name      Loại Campaign                                    Target                              Ghi chú  Impression  Click  Order  Note
2                         1  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)                         last day of pre k  [Exact] - [] - [T: 0 / P: 0 / R: 0]           1      0      0   NaN
3                         2  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)                              school signs  [Exact] - [] - [T: 0 / P: 0 / R: 0]           1      0      0   NaN
4                         3  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)                       first day if school  [Exact] - [] - [T: 0 / P: 0 / R: 0]           1      0      0   NaN
5                         4  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)    personalized first day of school board  [Exact] - [] - [T: 0 / P: 0 / R: 0]           9      0      0   NaN
6                         5  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)                   1st day of school board  [Exact] - [] - [T: 0 / P: 0 / R: 0]           6      0      0   NaN
7                         6  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)               my first day of school sign  [Exact] - [] - [T: 0 / P: 0 / R: 0]           3      0      0   NaN
8                         7  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)  school signs for kids first and last day  [Exact] - [] - [T: 0 / P: 0 / R: 0]           1      0      0   NaN
9                         8  B0FDWNP259_BANGVANMAY_SP_KW_LOW-EX_0.33  Keyword (Từ khóa)           first day of school sign custom  [Exact] - [] - [T: 0 / P: 0 / R: 0]           1      0      0   NaN
